,,best_accuracy,best_accuracy,reduction_pct,runtime_sec
,,mean,std,mean,mean
algorithm,config_label,,,,
GA,GA_Roulette_Uniform_Swap,0.9336,0.0048,71.666,401.238
GA,GA_Tournament_Single_Bitflip,0.935,0.019,72.776,563.346
PSO,Standard_BPSO,0.9157,0.0103,63.89,141.238
GA,GA_Roulette_Uniform_Swap,0.9307,0.0137,73.888,786.966
GA,GA_Tournament_Single_Bitflip,0.9327,0.0196,73.0143,1070.9186
PSO,Standard_BPSO,0.9257,0.0216,66.11,288.606
GA,GA_Roulette_Uniform_Swap,0.9114,0.0142,71.108,348.616
GA,GA_Tournament_Single_Bitflip,0.9093,0.0078,73.332,356.702
PSO,Standard_BPSO,0.9171,0.0137,67.222,206.706
